Number-Of-Methods,Class,Max-LOC,Mean-LOC,Median-LOC,Min-LOC,Range-LOC,Std-LOC,Sum-LOC,Var-LOC,Max-Is-Protected,Mean-Is-Protected,Median-Is-Protected,Min-Is-Protected,Range-Is-Protected,Std-Is-Protected,Sum-Is-Protected,Var-Is-Protected,Max-Fan-In,Mean-Fan-In,Median-Fan-In,Min-Fan-In,Range-Fan-In,Std-Fan-In,Sum-Fan-In,Var-Fan-In,Max-Is-Static,Mean-Is-Static,Median-Is-Static,Min-Is-Static,Range-Is-Static,Std-Is-Static,Sum-Is-Static,Var-Is-Static,Max-Number-Of-Branches,Mean-Number-Of-Branches,Median-Number-Of-Branches,Min-Number-Of-Branches,Range-Number-Of-Branches,Std-Number-Of-Branches,Sum-Number-Of-Branches,Var-Number-Of-Branches,Max-CFG-Size,Mean-CFG-Size,Median-CFG-Size,Min-CFG-Size,Range-CFG-Size,Std-CFG-Size,Sum-CFG-Size,Var-CFG-Size,Max-Number-Of-Parameters,Mean-Number-Of-Parameters,Median-Number-Of-Parameters,Min-Number-Of-Parameters,Range-Number-Of-Parameters,Std-Number-Of-Parameters,Sum-Number-Of-Parameters,Var-Number-Of-Parameters,Max-Is-Public,Mean-Is-Public,Median-Is-Public,Min-Is-Public,Range-Is-Public,Std-Is-Public,Sum-Is-Public,Var-Is-Public,Max-Fan-Out,Mean-Fan-Out,Median-Fan-Out,Min-Fan-Out,Range-Fan-Out,Std-Fan-Out,Sum-Fan-Out,Var-Fan-Out,Max-Number-Of-Invokes,Mean-Number-Of-Invokes,Median-Number-Of-Invokes,Min-Number-Of-Invokes,Range-Number-Of-Invokes,Std-Number-Of-Invokes,Sum-Number-Of-Invokes,Var-Number-Of-Invokes,Max-Is-Private,Mean-Is-Private,Median-Is-Private,Min-Is-Private,Range-Is-Private,Std-Is-Private,Sum-Is-Private,Var-Is-Private
475,0,346,19.774736842105263,11.0,2,344,32.94954898246564,9393,1085.6727781479028,1,0.0926315789473684,0.0,0,1,0.2902211092419206,44,0.0842282922496108,116,2.172631578947368,1.0,1,115,6.725454545290805,1032,45.23173884077275,1,0.3010526315789473,0.0,0,1,0.459199159986265,143,0.2108638685320913,79,2.52,0.0,0,79,6.461597038420106,1197,41.75223628691949,267,17.10736842105263,10.0,2,265,26.67247527232913,8126,711.4209371530088,7,1.2652631578947369,1.0,0,7,1.1679409937060288,601,1.364086164779026,1,0.6126315789473684,1.0,0,1,0.4876625781623052,291,0.2378147901399064,73,3.3389473684210524,2.0,0,73,7.124041052306323,1586,50.75196091494578,98,4.242105263157895,2.0,0,98,9.493408538828357,2015,90.12480568509916,1,0.1410526315789473,0.0,0,1,0.3484428098538408,67,0.1214123917388398
3594,0,683,19.74735670562048,10.0,1,682,32.84670176494387,70972,1078.9058168351671,1,0.0698386199220923,0.0,0,1,0.2549103117158621,251,0.064979267019078,1464,3.721758486366166,1.0,0,1464,27.05307972993173,13376,731.8691228740433,1,0.2454090150250417,0.0,0,1,0.4303893242495982,882,0.1852349704280258,125,2.624373956594324,1.0,0,125,6.068422023117209,9432,36.82574585065396,558,16.920701168614357,9.0,1,557,26.533147273020845,60813,704.0079042118135,9,1.0342237061769617,1.0,0,9,1.125420474861745,3717,1.266571245238035,1,0.6349471341124096,1.0,0,1,0.481511975284295,2282,0.2318537823421835,209,4.877573734001113,2.0,0,209,10.09575822343371,17530,101.9243341060294,207,4.433778519755148,1.0,0,207,9.82809011024304,15935,96.59135521505704,1,0.1736227045075125,0.0,0,1,0.3788374236992989,624,0.1435177935951221
475,0,346,19.774736842105263,11.0,2,344,32.94954898246564,9393,1085.6727781479028,1,0.0926315789473684,0.0,0,1,0.2902211092419205,44,0.0842282922496107,116,2.172631578947368,1.0,1,115,6.72545454529083,1032,45.23173884077308,1,0.3010526315789473,0.0,0,1,0.459199159986265,143,0.2108638685320913,79,2.52,0.0,0,79,6.461597038420106,1197,41.75223628691949,267,17.10736842105263,10.0,2,265,26.672475272329127,8126,711.4209371530087,7,1.2652631578947369,1.0,0,7,1.1679409937060286,601,1.3640861647790254,1,0.6126315789473684,1.0,0,1,0.4876625781623052,291,0.2378147901399064,73,3.3389473684210524,2.0,0,73,7.124041052306324,1586,50.75196091494579,98,4.242105263157895,2.0,0,98,9.493408538828357,2015,90.12480568509916,1,0.1410526315789473,0.0,0,1,0.3484428098538407,67,0.1214123917388398
606,0,346,19.36963696369637,11.0,2,344,31.4384404729644,11738,988.375539372126,1,0.0808580858085808,0.0,0,1,0.2728422599879613,49,0.0744428988353383,116,2.1666666666666665,1.0,1,115,6.146445141607267,1313,37.77878787878758,1,0.2524752475247525,0.0,0,1,0.4347912715309795,153,0.1890434497995259,79,2.402640264026403,1.0,0,79,5.990868502494283,1456,35.8905054141781,267,16.778877887788777,10.0,2,265,25.50249929858492,10168,650.3774704743242,7,1.193069306930693,1.0,0,7,1.1588045215460434,723,1.3428279191555548,1,0.6320132013201321,1.0,0,1,0.4826561219510661,383,0.2329569320568424,76,3.458745874587459,2.0,0,76,7.235868946871936,2096,52.35779941630558,98,4.429042904290429,2.0,0,98,9.681749794456232,2684,93.7362790824533,1,0.1551155115511551,0.0,0,1,0.3623138266048887,94,0.1312713089490773
606,0,346,19.36963696369637,11.0,2,344,31.438440472964405,11738,988.3755393721264,1,0.0808580858085808,0.0,0,1,0.2728422599879613,49,0.0744428988353383,116,2.1666666666666665,1.0,1,115,6.1464451416072565,1313,37.77878787878745,1,0.2524752475247525,0.0,0,1,0.4347912715309795,153,0.1890434497995259,79,2.402640264026403,1.0,0,79,5.990868502494282,1456,35.89050541417808,267,16.778877887788777,10.0,2,265,25.50249929858491,10168,650.3774704743239,7,1.193069306930693,1.0,0,7,1.1588045215460434,723,1.3428279191555548,1,0.6320132013201321,1.0,0,1,0.4826561219510661,383,0.2329569320568424,76,3.458745874587459,2.0,0,76,7.235868946871937,2096,52.3577994163056,98,4.429042904290429,2.0,0,98,9.68174979445623,2684,93.73627908245328,1,0.1551155115511551,0.0,0,1,0.3623138266048886,94,0.1312713089490773
475,0,346,19.774736842105263,11.0,2,344,32.94954898246565,9393,1085.672778147903,1,0.0926315789473684,0.0,0,1,0.2902211092419207,44,0.0842282922496108,116,2.172631578947368,1.0,1,115,6.725454545290811,1032,45.23173884077283,1,0.3010526315789473,0.0,0,1,0.459199159986265,143,0.2108638685320913,79,2.52,0.0,0,79,6.4615970384201065,1197,41.75223628691949,267,17.10736842105263,10.0,2,265,26.672475272329127,8126,711.4209371530087,7,1.2652631578947369,1.0,0,7,1.1679409937060283,601,1.364086164779025,1,0.6126315789473684,1.0,0,1,0.4876625781623052,291,0.2378147901399064,73,3.3389473684210524,2.0,0,73,7.124041052306323,1586,50.75196091494578,98,4.242105263157895,2.0,0,98,9.493408538828357,2015,90.12480568509916,1,0.1410526315789473,0.0,0,1,0.3484428098538408,67,0.1214123917388398
475,0,346,19.774736842105263,11.0,2,344,32.94954898246564,9393,1085.6727781479028,1,0.0926315789473684,0.0,0,1,0.2902211092419206,44,0.0842282922496108,116,2.172631578947368,1.0,1,115,6.725454545290822,1032,45.23173884077298,1,0.3010526315789473,0.0,0,1,0.459199159986265,143,0.2108638685320913,79,2.52,0.0,0,79,6.461597038420106,1197,41.75223628691949,267,17.10736842105263,10.0,2,265,26.67247527232913,8126,711.4209371530092,7,1.2652631578947369,1.0,0,7,1.1679409937060283,601,1.3640861647790248,1,0.6126315789473684,1.0,0,1,0.4876625781623052,291,0.2378147901399064,73,3.3389473684210524,2.0,0,73,7.124041052306325,1586,50.75196091494581,98,4.242105263157895,2.0,0,98,9.493408538828357,2015,90.12480568509916,1,0.1410526315789473,0.0,0,1,0.3484428098538407,67,0.1214123917388397
2405,0,676,21.49563409563409,11.0,1,675,35.87859221643805,51697,1287.273379433449,1,0.0607068607068607,0.0,0,1,0.2388414897199596,146,0.0570452572116495,909,3.7072765072765073,1.0,0,909,21.303643484919817,8916,453.8452257325666,1,0.2544698544698545,0.0,0,1,0.4356533759808573,612,0.1897938640035182,125,3.2137214137214136,1.0,0,125,7.152200457080544,7729,51.15397137826314,551,18.12889812889813,10.0,1,550,28.729793170719184,43600,825.4010156323027,8,1.029106029106029,1.0,0,8,1.1159788198142304,2475,1.2454087262739624,1,0.6170478170478171,1.0,0,1,0.486207880390525,1484,0.236398102953847,146,4.801663201663201,2.0,0,146,9.284924027924175,11548,86.20981420432373,148,4.68024948024948,2.0,0,148,9.8263439223088,11256,96.55703487949512,1,0.1912681912681912,0.0,0,1,0.3933815132692,460,0.1547490149819657
606,0,346,19.36963696369637,11.0,2,344,31.4384404729644,11738,988.375539372126,1,0.0808580858085808,0.0,0,1,0.2728422599879612,49,0.0744428988353382,116,2.1666666666666665,1.0,1,115,6.14644514160724,1313,37.77878787878724,1,0.2524752475247525,0.0,0,1,0.4347912715309795,153,0.1890434497995259,79,2.402640264026403,1.0,0,79,5.990868502494282,1456,35.89050541417808,267,16.778877887788777,10.0,2,265,25.502499298584908,10168,650.3774704743237,7,1.193069306930693,1.0,0,7,1.1588045215460436,723,1.342827919155555,1,0.6320132013201321,1.0,0,1,0.4826561219510662,383,0.2329569320568424,76,3.458745874587459,2.0,0,76,7.235868946871937,2096,52.3577994163056,98,4.429042904290429,2.0,0,98,9.681749794456234,2684,93.73627908245332,1,0.1551155115511551,0.0,0,1,0.3623138266048886,94,0.1312713089490773
3594,0,683,19.74735670562048,10.0,1,682,32.84670176494387,70972,1078.9058168351671,1,0.0698386199220923,0.0,0,1,0.2549103117158614,251,0.0649792670190776,1464,3.721758486366166,1.0,0,1464,27.053079729931728,13376,731.8691228740429,1,0.2454090150250417,0.0,0,1,0.4303893242495983,882,0.1852349704280258,125,2.624373956594324,1.0,0,125,6.068422023117209,9432,36.82574585065396,558,16.920701168614357,9.0,1,557,26.533147273020845,60813,704.0079042118134,9,1.0342237061769617,1.0,0,9,1.125420474861745,3717,1.2665712452380355,1,0.6349471341124096,1.0,0,1,0.4815119752842948,2282,0.2318537823421833,209,4.877573734001113,2.0,0,209,10.09575822343371,17530,101.9243341060294,207,4.433778519755148,1.0,0,207,9.82809011024304,15935,96.59135521505706,1,0.1736227045075125,0.0,0,1,0.378837423699299,624,0.1435177935951222
